ID,How do you feel about the course so far? - Selected Choice,Explain why you selected the above choice(s).,What was(were) your biggest challenge(s) for these past modules?,How did you overcome this challenge(s)? Or what steps did you start taking towards overcoming it?,"Are you CURRENTLY experiencing any additional challenges or concerns beyond what you mentioned in the previous question? If so, please describe them.","How would you assess your performance in the course so far? What’s helping you succeed, or what might be holding you back?",What actions can you or the instructional team take to help you improve or maintain your success in the course?,primary_labels_selected,resolution_primary_labels,urgency,reflection_summary,instructor_suggestions
UNK_007,Satisfied,"Its going well, but I am still too early in the course to tell.","Figuring out course expecations, but everything has been outlined very well.",I read through everything and gave myself time,no,"Good, and I think if I dedicated myself more time to this class",nan,other_secondary,resolved,low,"The student is satisfied with the course and feels it is going well. Their main challenge was figuring out course expectations, which they resolved by reading through course materials and giving themselves time. They currently do not have any additional challenges. Overall, the student is performing well, but notes they could improve by dedicating more time to the class.",No action is needed.
UNK_008,Neutral,It has only been a week or two in the course so i haven't been stressed and i have understood everything we have had to do so far.,just learning basic python,the little python exercise helped me a lot and also the 6-hour video you linked was also pretty helpful.,NO,I feel like i am doing fine i just need to keep doing what I have been doing and keep the schedule I am on.,N/A I don't have any recommendations.,python_and_coding,resolved,none,"The student reports a neutral feeling about the course, primarily due to their initial challenge with learning basic Python. They found the provided exercises and a linked video to be helpful in overcoming this challenge. Currently, they have no additional concerns and feel that their consistent schedule is aiding their success. There are no further challenges or recommendations for improvement, indicating satisfactory progress.",No action is needed.
UNK_009,Satisfied,I am getting ahead of the course work and feel like I am learning well on my own.,"Not really the material, just balancing the start of the summer courses.",Designating certain days to learn content and complete assignments.,No,8/10 - I could complete the assignments a couple days before the due date.,I am okay,time_management_and_motivation,resolved,none,"The student feels satisfied with the course and is proactively managing their workload. Their main challenge was time management, particularly balancing the start of summer courses, which they resolved by designating specific days for study and assignments. The student assesses their performance as 8/10 and does not currently experience any challenges or need additional support. Overall, they are progressing well with effective self-management strategies.",No action is needed.
s040@anon.local,Satisfied,"The workload isnt too bad, however I do struggle to stay on top of the debate assignments in time",Debate assignments,I just need to check the assignments/announcements more often,not currently,"decently, I should be able to hold a decent grade",I could go to office hours if i was struggling with content but its just my time management problem at this point,time_management_and_motivation,unresolved,medium,"The student feels satisfied with the course but struggles with time management, particularly in staying on top of the debate assignments. They acknowledge this is a recurring challenge and have not yet resolved it, suggesting checking assignments and announcements more often as a potential solution. The student's performance is decent, and they recognize that attending office hours could help if content becomes an issue, but their primary challenge remains managing time for assignments.",The instructor may consider sending regular reminders for upcoming debate assignments to help students like this one manage deadlines better.
s040@anon.local,Satisfied,"The workload isnt too bad, however I do struggle to stay on top of the debate assignments in time",Debate assignments,I just need to check the assignments/announcements more often,not currently,"decently, I should be able to hold a decent grade",I could go to office hours if i was struggling with content but its just my time management problem at this point,Sway,unresolved,medium,"The student feels satisfied with the course but struggles with time management, particularly in staying on top of the debate assignments. They acknowledge this is a recurring challenge and have not yet resolved it, suggesting checking assignments and announcements more often as a potential solution. The student's performance is decent, and they recognize that attending office hours could help if content becomes an issue, but their primary challenge remains managing time for assignments.",The instructor may consider sending regular reminders for upcoming debate assignments to help students like this one manage deadlines better.
s014@anon.local,Satisfied,The course is easy to navigate and so far the work has been easy to follow.,I didn't have any challenges for these past modules.,I didn't have any challenges.,Nope.,I believe my performance in the class so far is good.,I can make sure to keep up with my assignments and stay on track with material. The instructional team has been doing great so far in providing reminders with due dates.,none,no_challenge,none,"The student expresses satisfaction with the course, mentioning that it is easy to navigate and the work is easy to follow. They report no challenges and assess their performance as good, appreciating the instructional team's reminders about due dates. The student plans to maintain their success by keeping up with assignments. Given the lack of challenges, the 'none' label is appropriate, and there is no urgency or resolution needed.",No action is needed.
s021@anon.local,Satisfied,I understand the material so far!,I did not know python so that was challenging,I started watching more youtube videos that was very helpful,NO,"It's pretty good so far, the class materials and additional youtube videos are very helpful",Everything is good,python_and_coding,resolved,none,"The student initially faced a challenge with learning Python, as they were not familiar with it. They overcame this challenge by watching YouTube videos, which they found very helpful. Currently, the student is satisfied with the course and is not experiencing any additional challenges. Overall, the student is progressing well and does not require any further assistance from the instructor.",No action is needed.
UNK_010,Satisfied,I need to take some classes in the summer and I was interested in this class which made me choose it.,"So far getting used to the python, I havent done python in a few classes so relearning it is really good for me to do.",Somethings I've done is watch the videos given to me in the class and extra ones on YouTube to give me a better understanding of the topic.,No i think the class is going smoothly,The videos and learning material is helping me progress well.,"Keeping it at a pace and not to rush it, because the more you rush it the harder the course becomes and everything becomes confusing.",python_and_coding,resolved,low,"The student is satisfied with the course and is working on relearning Python, which was initially a challenge. They have overcome this challenge by watching class videos and additional YouTube resources, indicating it is now resolved. The student is currently not experiencing any additional challenges and feels supported by the course materials, though they suggest maintaining a steady pace to avoid confusion.",No action is needed. The student suggests maintaining a steady pace in the course to prevent confusion.
UNK_011,Frustrated,The pace of the class is a little fast and I'm still kind of confused about the Sway assignments.,I think just getting the hang of things and I'm still trying to figure out Sway,I'm trying to set aside more time for studying for the class and going through the material. I'm also reading more in depth about what we are doing in class.,no,I think I'm doing fairly decent in the class so far.,"I got a little confused on where to find the materials we were supposed to use for one of the preclass quizzes, so linking the lecture slides or websites in the quiz would be helpful",Sway,unresolved,medium,"The student feels frustrated due to the fast pace of the class and confusion about Sway assignments. They have identified time management as a challenge and have started dedicating more time to studying, which seems to be helping. While they are still confused about Sway, their efforts in managing time indicate progress. The student's suggestion to link materials in quizzes reflects a proactive approach to overcoming difficulties.","Consider providing additional resources or guidance on Sway assignments to address student confusion. Linking lecture slides or relevant materials in quizzes, as suggested by the student, could also help improve clarity and resource accessibility."
UNK_011,Frustrated,The pace of the class is a little fast and I'm still kind of confused about the Sway assignments.,I think just getting the hang of things and I'm still trying to figure out Sway,I'm trying to set aside more time for studying for the class and going through the material. I'm also reading more in depth about what we are doing in class.,no,I think I'm doing fairly decent in the class so far.,"I got a little confused on where to find the materials we were supposed to use for one of the preclass quizzes, so linking the lecture slides or websites in the quiz would be helpful",time_management_and_motivation,resolved,medium,"The student feels frustrated due to the fast pace of the class and confusion about Sway assignments. They have identified time management as a challenge and have started dedicating more time to studying, which seems to be helping. While they are still confused about Sway, their efforts in managing time indicate progress. The student's suggestion to link materials in quizzes reflects a proactive approach to overcoming difficulties.","Consider providing additional resources or guidance on Sway assignments to address student confusion. Linking lecture slides or relevant materials in quizzes, as suggested by the student, could also help improve clarity and resource accessibility."
UNK_012,Frustrated,"I feel like the communication could be improved. For instance, the recent announcement was so confusing and the TA hasn't answered my email.",nan,nan,nan,Good! I've coded in internships before so all has been easy so far.,Get better at communication.,other_secondary,unresolved,low,"The student feels frustrated due to communication issues in the course, such as confusing announcements and unresponsive TAs. Despite this, they are performing well due to prior coding experience. The challenge related to communication is unresolved, but it does not significantly impact their ability to succeed in the course. Overall, their progress is good, but communication improvements could enhance their experience.",The instructor may consider clarifying announcements and ensuring TAs are responsive to student inquiries to improve communication.
s019@anon.local,"Excited,Satisfied",I chose excited and satisfied because I am excited to get into the main material of the course and I am satisfied with my current progress in the course right now.,The biggest challenges were completing the w3 schools learning modules. I was also having a glitch with them too where some of them weren't being marked as completed.,I overcame the challenges by submitting the screenshots of completion with a note explaining the issue.,"Nope, that seems to be the only issue right now.",I would assess my performance as good and I'm not having any real difficulties yet. The w3 learning modules and weekly python videos are helping me succeed.,Grading and giving feedback as fast as possible.,other_secondary,resolved,low,"The student feels excited and satisfied with their progress in the course. Their main challenge was with the w3 schools learning modules, which they resolved by submitting screenshots with an explanation of the issue. They are not experiencing any current challenges and assess their performance as good, with the learning modules and weekly Python videos aiding their success. The challenge was resolved, and their urgency is low as no ongoing issues are impacting their learning.",No action is needed.
UNK_013,Satisfied,The class seems interesting and I'm confident in my ability to pass.,Figuring out the sway activities.,"I just ""played with it"" until I got it.",nan,nan,nan,Sway,resolved,none,"The student is satisfied with the course and confident in their ability to pass. They identified the Sway activity as their biggest challenge but managed to overcome it by experimenting with it until they understood. No additional challenges or concerns are currently affecting the student. Overall, the student seems to be progressing well in the course.",No action is needed.
UNK_014,"Excited,Frustrated,Neutral","I'm excited because I'm going to be able to learn about software engineering, do some projects, and just expand my knowledge.

I'm frustrated a bit because I thought that this was an online class with designated meeting times but I read the information wrong. I will do my best to keep up and stay on top of all my work though.

I'm also pretty neutral on how the course is going because it's at my own pace.","My biggest challenges so far are just trying to remember what I learned from ITSC 1212. I'm trying to get back in the groove of coding more.
Also the sway ai is good but it sucks when we have to wait for the partner that we're matched up with.","I'm working on doing extra reading and try out different coding problems.
I have a friend who has a decent amount of coding experience and they're explaining to me why something is or how something works.",No.,"I think I'm doing average so far.
What is helping me succeed is thinking about my future. I'm trying my best to not slack off or procrastinate as much as I have done in the previous semesters. It still happens but way less than before.",Maybe sending out more reminders?,python_and_coding,resolved,medium,"The student is excited about learning software engineering but is frustrated by their misunderstanding of the course format. Their main challenges are remembering previous coding knowledge and dealing with delays in the Sway activity due to partners. They are addressing their coding challenges through extra reading and peer support, and are improving their time management. While they are managing their challenges, they suggest more reminders from the instructional team to help stay on track.","Consider sending out more reminders to help students keep track of assignments and deadlines, as suggested by the student."
UNK_014,"Excited,Frustrated,Neutral","I'm excited because I'm going to be able to learn about software engineering, do some projects, and just expand my knowledge.

I'm frustrated a bit because I thought that this was an online class with designated meeting times but I read the information wrong. I will do my best to keep up and stay on top of all my work though.

I'm also pretty neutral on how the course is going because it's at my own pace.","My biggest challenges so far are just trying to remember what I learned from ITSC 1212. I'm trying to get back in the groove of coding more.
Also the sway ai is good but it sucks when we have to wait for the partner that we're matched up with.","I'm working on doing extra reading and try out different coding problems.
I have a friend who has a decent amount of coding experience and they're explaining to me why something is or how something works.",No.,"I think I'm doing average so far.
What is helping me succeed is thinking about my future. I'm trying my best to not slack off or procrastinate as much as I have done in the previous semesters. It still happens but way less than before.",Maybe sending out more reminders?,Sway,unresolved,medium,"The student is excited about learning software engineering but is frustrated by their misunderstanding of the course format. Their main challenges are remembering previous coding knowledge and dealing with delays in the Sway activity due to partners. They are addressing their coding challenges through extra reading and peer support, and are improving their time management. While they are managing their challenges, they suggest more reminders from the instructional team to help stay on track.","Consider sending out more reminders to help students keep track of assignments and deadlines, as suggested by the student."
UNK_014,"Excited,Frustrated,Neutral","I'm excited because I'm going to be able to learn about software engineering, do some projects, and just expand my knowledge.

I'm frustrated a bit because I thought that this was an online class with designated meeting times but I read the information wrong. I will do my best to keep up and stay on top of all my work though.

I'm also pretty neutral on how the course is going because it's at my own pace.","My biggest challenges so far are just trying to remember what I learned from ITSC 1212. I'm trying to get back in the groove of coding more.
Also the sway ai is good but it sucks when we have to wait for the partner that we're matched up with.","I'm working on doing extra reading and try out different coding problems.
I have a friend who has a decent amount of coding experience and they're explaining to me why something is or how something works.",No.,"I think I'm doing average so far.
What is helping me succeed is thinking about my future. I'm trying my best to not slack off or procrastinate as much as I have done in the previous semesters. It still happens but way less than before.",Maybe sending out more reminders?,time_management_and_motivation,resolved,medium,"The student is excited about learning software engineering but is frustrated by their misunderstanding of the course format. Their main challenges are remembering previous coding knowledge and dealing with delays in the Sway activity due to partners. They are addressing their coding challenges through extra reading and peer support, and are improving their time management. While they are managing their challenges, they suggest more reminders from the instructional team to help stay on track.","Consider sending out more reminders to help students keep track of assignments and deadlines, as suggested by the student."
UNK_015,Satisfied,It hasn't overwhelmed me yet,remembering a lot of the rules and syntax's,Looking more into the topic,nothing,practice helps me succeed,nothing so far,python_and_coding,resolved,low,"The student is satisfied with the course and feels that it has not been overwhelming. They faced a challenge with remembering Python syntax and rules, which they have addressed by further studying the topic. Currently, the student has no additional challenges and feels that practice is aiding their success in the course. Overall, they seem to be managing their coursework well and have resolved their previous challenge.",No action is needed.
UNK_016,Neutral,Everything seems normal so far. Some assignments are a little confusing to complete for example the swat debate where it is based on someone else.,"Just completing the sway assignment, trying to see if it will ever reach 100% and completing the work for it.",Nothing really since its based on someone else.,No,It's going well. The assignment's are pretty straight forward.,None,Sway,unresolved,medium,"The student feels neutral about the course and highlights the Sway assignment as their primary challenge due to its dependency on another student's participation. They indicate that they have not taken any steps to overcome this challenge, resulting in it being unresolved. Overall, their performance is satisfactory, with assignments being straightforward, but the unresolved issue with the Sway assignment presents a medium level of urgency.",Consider providing additional guidance or facilitating communication for the Sway assignment to ensure smoother collaboration between students. This may help students overcome the dependency issue highlighted in the reflection.
s028@anon.local,Confused,"The structure for the course seems to be entirely copied from that of a synchronous course, leading to ""pre class"" assignments due at 10:00am on random days and what feels like a lot of missing pieces.",Keeping track of when various things are due.,I just do everything as early as I possibly can now and hope I don't miss something.,nan,It is hard to say since we have not done much. I'd say I'm performing well considering I have submitted everything so far.,I just wish assignments were not due at 10:00am. I work 8a-4p every day of the week so this is frustrating having to look further ahead to make sure I do not miss something that's due while I am working.,time_management_and_motivation,unresolved,medium,"The student feels confused about the course due to its structure, which appears to be copied from a synchronous format, resulting in assignments due at inconvenient times. Their main challenge is keeping track of due dates, which they attempt to manage by completing tasks as early as possible. While the student is managing to submit work on time, they find the timing of deadlines, particularly the 10:00am ones, frustrating due to their work schedule. The challenge remains unresolved and impacts their ability to manage time effectively.",It may be beneficial for the instructor to consider adjusting the assignment due times to accommodate students with conflicting work schedules. This could help alleviate the student's difficulty in managing due dates.
UNK_017,Satisfied,I think so far it has been very interesting to learn new concepts.,"I would say learning about Python. Even though it is one of the easiest languages, this is my first time learning it.",I think I overcame this through practice and watching YouTube videos in my free time.,"No, not so far.",good.,Probably reaching out fast so we dont have to wait days for a response.,python_and_coding,resolved,low,"The student is generally satisfied with the course and finds it interesting to learn new concepts. Their main challenge was learning Python for the first time, but they have overcome this through practice and watching online tutorials. They are not currently facing any additional challenges, and their performance in the course is self-assessed as good. Their suggestion for improvement is for the instructional team to respond more quickly to inquiries.",The student's suggestion for faster response times from the instructional team could be considered to enhance communication and support.
UNK_018,Satisfied,"I'm fine with the class considering I'm not very knowledgeable about Python, but I find it a bit frustrating trying to communicate with my classmates in an online course.",nothing,studying,Nop,Good,Manager my time,python_and_coding,unspecified,low,"The student is satisfied with the course but indicates a lack of knowledge in Python and struggles with communication in an online group setting. They claim to have no significant challenges and are managing their progress through studying and time management. The challenges with Python and group communication are acknowledged, but their resolution status is unspecified as the student does not report current issues.",No action is needed. The student seems to be handling their challenges effectively through studying and time management.
UNK_018,Satisfied,"I'm fine with the class considering I'm not very knowledgeable about Python, but I find it a bit frustrating trying to communicate with my classmates in an online course.",nothing,studying,Nop,Good,Manager my time,group_work,unspecified,low,"The student is satisfied with the course but indicates a lack of knowledge in Python and struggles with communication in an online group setting. They claim to have no significant challenges and are managing their progress through studying and time management. The challenges with Python and group communication are acknowledged, but their resolution status is unspecified as the student does not report current issues.",No action is needed. The student seems to be handling their challenges effectively through studying and time management.
s016@anon.local,"Satisfied,Frustrated","Material is organised well and easy to understand, but certain technical issues with external platforms have been frustrating.","In the past modules, both Sway and W3schools have presented technical difficulties which have interfered with assignment completion requirements.",I submitted screenshots to prove my completion as best as I could and explained the issue.,No,I've allowed myself to stagnate given the format of the course and it leads to having to complete everything in a very short amount of time,"I need to rebuild my discipline on my end, and I would appreciate if the instructional team could account for unrectifiable technical difficulties when grading.",Sway,resolved,medium,"The student is generally satisfied with the course material, but has faced technical difficulties with external platforms like Sway and W3schools, which have been resolved by submitting screenshots as proof of completion. Additionally, the student struggles with time management, which remains an ongoing challenge. They recognize the need to improve their discipline and suggest that the instructional team consider technical issues when grading.","The instructor may want to consider providing leniency in grading for issues caused by technical difficulties. Additionally, guidance on time management strategies could be beneficial for the student."
s016@anon.local,"Satisfied,Frustrated","Material is organised well and easy to understand, but certain technical issues with external platforms have been frustrating.","In the past modules, both Sway and W3schools have presented technical difficulties which have interfered with assignment completion requirements.",I submitted screenshots to prove my completion as best as I could and explained the issue.,No,I've allowed myself to stagnate given the format of the course and it leads to having to complete everything in a very short amount of time,"I need to rebuild my discipline on my end, and I would appreciate if the instructional team could account for unrectifiable technical difficulties when grading.",other_secondary,resolved,medium,"The student is generally satisfied with the course material, but has faced technical difficulties with external platforms like Sway and W3schools, which have been resolved by submitting screenshots as proof of completion. Additionally, the student struggles with time management, which remains an ongoing challenge. They recognize the need to improve their discipline and suggest that the instructional team consider technical issues when grading.","The instructor may want to consider providing leniency in grading for issues caused by technical difficulties. Additionally, guidance on time management strategies could be beneficial for the student."
s016@anon.local,"Satisfied,Frustrated","Material is organised well and easy to understand, but certain technical issues with external platforms have been frustrating.","In the past modules, both Sway and W3schools have presented technical difficulties which have interfered with assignment completion requirements.",I submitted screenshots to prove my completion as best as I could and explained the issue.,No,I've allowed myself to stagnate given the format of the course and it leads to having to complete everything in a very short amount of time,"I need to rebuild my discipline on my end, and I would appreciate if the instructional team could account for unrectifiable technical difficulties when grading.",time_management_and_motivation,unresolved,medium,"The student is generally satisfied with the course material, but has faced technical difficulties with external platforms like Sway and W3schools, which have been resolved by submitting screenshots as proof of completion. Additionally, the student struggles with time management, which remains an ongoing challenge. They recognize the need to improve their discipline and suggest that the instructional team consider technical issues when grading.","The instructor may want to consider providing leniency in grading for issues caused by technical difficulties. Additionally, guidance on time management strategies could be beneficial for the student."
UNK_019,"Satisfied,Confused,Neutral","I am very confused about group work, though I am good with all work being online",doing group work because it was confusing in instructions,emailing TA,not really,"learning new languages, struggling in doing things without clear instructions",writing instructions for assignment in simple language,group_work,resolved,low,"The student is experiencing confusion primarily related to group work due to unclear instructions. They reached out to the TA for clarification, which suggests the issue was resolved. They are generally satisfied with the course but still find unclear instructions challenging. The student recommends simplifying assignment instructions, indicating they are proactive about seeking improvements.",Consider simplifying assignment instructions as suggested by the student to reduce confusion and support all students' understanding. No further action is needed at this time.
UNK_020,Satisfied,Is has been satisfying although excited for a coding class is a bit too much for me,I was out of town so starting the Sway module became difficult to do in time,I simply answered the quiz following it with my honest thoughts and relayed the reason why,I am bit confused on how the sway debates are graded but ultimately I’m fine,"I’m doing fine. With other responsibilities and classes, this class has become a bit of a struggle in terms of time management","Umm since I’m in the asynchronous section, the canvas which is setup for having in-class time and activities becomes a bit confusing.",Sway,resolved,medium,"The student is generally satisfied with the course but faced challenges due to being out of town, which affected their ability to start the Sway module on time. They resolved this issue by completing the quiz honestly. However, they still experience confusion regarding the grading of Sway debates and struggle with time management due to other responsibilities. The student's progress is impacted by these challenges, but they seem to manage them overall.","Consider providing clearer guidelines on how Sway debates are graded to alleviate student confusion. Additionally, addressing the setup of Canvas for asynchronous students could help mitigate their time management struggles."
UNK_020,Satisfied,Is has been satisfying although excited for a coding class is a bit too much for me,I was out of town so starting the Sway module became difficult to do in time,I simply answered the quiz following it with my honest thoughts and relayed the reason why,I am bit confused on how the sway debates are graded but ultimately I’m fine,"I’m doing fine. With other responsibilities and classes, this class has become a bit of a struggle in terms of time management","Umm since I’m in the asynchronous section, the canvas which is setup for having in-class time and activities becomes a bit confusing.",time_management_and_motivation,unresolved,medium,"The student is generally satisfied with the course but faced challenges due to being out of town, which affected their ability to start the Sway module on time. They resolved this issue by completing the quiz honestly. However, they still experience confusion regarding the grading of Sway debates and struggle with time management due to other responsibilities. The student's progress is impacted by these challenges, but they seem to manage them overall.","Consider providing clearer guidelines on how Sway debates are graded to alleviate student confusion. Additionally, addressing the setup of Canvas for asynchronous students could help mitigate their time management struggles."
UNK_021,Satisfied,They best match my feelings,Python Syntax,Did more python coding practice,No,I would say I'm doing well,nan,python_and_coding,resolved,none,The student is satisfied with the course and has successfully overcome their initial challenge with Python syntax through additional practice. They report no current challenges and feel they are performing well in the course. The resolution of their challenge with Python syntax indicates that they are on a positive learning trajectory.,No action is needed.
