What is your ITSC-3155 section?,ID,How do you feel about the course so far? - Selected Choice,Explain why you selected the above choice(s).,What was(were) your biggest challenge(s) for these past modules?,How did you overcome this challenge(s)? Or what steps did you start taking towards overcoming it?,"Are you CURRENTLY experiencing any additional challenges or concerns beyond what you mentioned in the previous question? If so, please describe them.","How would you assess your performance in the course so far? What’s helping you succeed, or what might be holding you back?",What actions can you or the instructional team take to help you improve or maintain your success in the course?
Online Asynchronous (081),UNK_010,Satisfied,I need to take some classes in the summer and I was interested in this class which made me choose it.,"So far getting used to the python, I havent done python in a few classes so relearning it is really good for me to do.",Somethings I've done is watch the videos given to me in the class and extra ones on YouTube to give me a better understanding of the topic.,No i think the class is going smoothly,The videos and learning material is helping me progress well.,"Keeping it at a pace and not to rush it, because the more you rush it the harder the course becomes and everything becomes confusing."
Online Asynchronous (081),UNK_011,Frustrated,The pace of the class is a little fast and I'm still kind of confused about the Sway assignments.,I think just getting the hang of things and I'm still trying to figure out Sway,I'm trying to set aside more time for studying for the class and going through the material. I'm also reading more in depth about what we are doing in class.,no,I think I'm doing fairly decent in the class so far.,"I got a little confused on where to find the materials we were supposed to use for one of the preclass quizzes, so linking the lecture slides or websites in the quiz would be helpful"
Online Asynchronous (081),UNK_012,Frustrated,"I feel like the communication could be improved. For instance, the recent announcement was so confusing and the TA hasn't answered my email.",N/A,N/A,N/A,Good! I've coded in internships before so all has been easy so far.,Get better at communication.
Online Asynchronous (081),s019@anon.local,"Excited,Satisfied",I chose excited and satisfied because I am excited to get into the main material of the course and I am satisfied with my current progress in the course right now.,The biggest challenges were completing the w3 schools learning modules. I was also having a glitch with them too where some of them weren't being marked as completed.,I overcame the challenges by submitting the screenshots of completion with a note explaining the issue.,"Nope, that seems to be the only issue right now.",I would assess my performance as good and I'm not having any real difficulties yet. The w3 learning modules and weekly python videos are helping me succeed.,Grading and giving feedback as fast as possible.
Online Asynchronous (081),UNK_013,Satisfied,The class seems interesting and I'm confident in my ability to pass.,Figuring out the sway activities.,"I just ""played with it"" until I got it.",None,None,None
Online Asynchronous (081),UNK_014,"Excited,Frustrated,Neutral","I'm excited because I'm going to be able to learn about software engineering, do some projects, and just expand my knowledge.

I'm frustrated a bit because I thought that this was an online class with designated meeting times but I read the information wrong. I will do my best to keep up and stay on top of all my work though.

I'm also pretty neutral on how the course is going because it's at my own pace.","My biggest challenges so far are just trying to remember what I learned from ITSC 1212. I'm trying to get back in the groove of coding more.
Also the sway ai is good but it sucks when we have to wait for the partner that we're matched up with.","I'm working on doing extra reading and try out different coding problems.
I have a friend who has a decent amount of coding experience and they're explaining to me why something is or how something works.",No.,"I think I'm doing average so far.
What is helping me succeed is thinking about my future. I'm trying my best to not slack off or procrastinate as much as I have done in the previous semesters. It still happens but way less than before.",Maybe sending out more reminders?
Online Asynchronous (081),UNK_015,Satisfied,It hasn't overwhelmed me yet,remembering a lot of the rules and syntax's ,Looking more into the topic,nothing,practice helps me succeed,nothing so far
Online Asynchronous (081),UNK_016,Neutral,Everything seems normal so far. Some assignments are a little confusing to complete for example the swat debate where it is based on someone else. ,"Just completing the sway assignment, trying to see if it will ever reach 100% and completing the work for it. ",Nothing really since its based on someone else.,No,It's going well. The assignment's are pretty straight forward.  ,None 
Online Asynchronous (081),s028@anon.local,Confused,"The structure for the course seems to be entirely copied from that of a synchronous course, leading to ""pre class"" assignments due at 10:00am on random days and what feels like a lot of missing pieces. ",Keeping track of when various things are due.,I just do everything as early as I possibly can now and hope I don't miss something.,N/A,It is hard to say since we have not done much. I'd say I'm performing well considering I have submitted everything so far.,I just wish assignments were not due at 10:00am. I work 8a-4p every day of the week so this is frustrating having to look further ahead to make sure I do not miss something that's due while I am working.
Online Asynchronous (081),UNK_017,Satisfied,I think so far it has been very interesting to learn new concepts.,"I would say learning about Python. Even though it is one of the easiest languages, this is my first time learning it.",I think I overcame this through practice and watching YouTube videos in my free time.,"No, not so far.",good.,Probably reaching out fast so we dont have to wait days for a response.
Online Asynchronous (081),UNK_018,Satisfied,"I'm fine with the class considering I'm not very knowledgeable about Python, but I find it a bit frustrating trying to communicate with my classmates in an online course.",nothing ,studying,Nop,Good,Manager my time
Online Asynchronous (081),s016@anon.local,"Satisfied,Frustrated","Material is organised well and easy to understand, but certain technical issues with external platforms have been frustrating.","In the past modules, both Sway and W3schools have presented technical difficulties which have interfered with assignment completion requirements.",I submitted screenshots to prove my completion as best as I could and explained the issue.,No,I've allowed myself to stagnate given the format of the course and it leads to having to complete everything in a very short amount of time,"I need to rebuild my discipline on my end, and I would appreciate if the instructional team could account for unrectifiable technical difficulties when grading."
Online Asynchronous (081),UNK_019,"Satisfied,Confused,Neutral","I am very confused about group work, though I am good with all work being online",doing group work because it was confusing in instructions,emailing TA,not really,"learning new languages, struggling in doing things without clear instructions",writing instructions for assignment in simple language
Online Asynchronous (081),UNK_020,Satisfied,Is has been satisfying although excited for a coding class is a bit too much for me,I was out of town so starting the Sway module became difficult to do in time ,I simply answered the quiz following it with my honest thoughts and relayed the reason why,I am bit confused on how the sway debates are graded but ultimately I’m fine,"I’m doing fine. With other responsibilities and classes, this class has become a bit of a struggle in terms of time management ","Umm since I’m in the asynchronous section, the canvas which is setup for having in-class time and activities becomes a bit confusing."
Online Asynchronous (081),UNK_021,Satisfied,They best match my feelings,Python Syntax,Did more python coding practice,No ,I would say I'm doing well,N/A
Online Asynchronous (081),UNK_022,Excited,Really enjoy python,setting up the environment,"I followed setup tutorials, asked classmates for help, and used online documentation to better understand how to install and configure Python and the IDE. Once it was working, I practiced creating small scripts to get comfortable.","Not at the moment. Once the environment was set up, everything started to feel more manageable.","I think I’m doing well so far. My interest in Python keeps me motivated, and the exercises are helping me learn. The only thing that held me back a little was the initial environment setup.

",More hands-on practice activities and quick check-ins would be helpful. Maybe a short video walk-through of the setup process could also help new students avoid setup issues.
Online Asynchronous (081),s029,Satisfied,Since the class is still early and has been pretty enjoyable for the time being,Mostly just setting up and getting everything set up and making sure it works properly,"Just going through it step by step to make sure no issues can happen
",Nothing yet lucky,I'm just the hang of it and how Python works,Nothing specific at the moment
Online Asynchronous (081),s006@anon.local,"Excited,Satisfied","So far I am enjoying the course, I find the material interesting and the assignments and deadlines are given in a timely manner with good deadlines, allowing me to complete them on time! So far so good.","So far I haven't had any challenges, however some of the websites such as the Sway debate website and W3 schools are very laggy, but I've done the assignments.","I had to be patient. With Sway Beta, I had to use an incognito browser.",None,"So far I think my performance is going good. Interest and discipline is helping me succeed in the course so far, I find the material interesting and like the material we are learning. I think procrastination may hold me back, but I'm working on that at the moment.","Nothing so far, everything is all good."
Online Asynchronous (081),UNK_023,"Excited,Satisfied","So far, I feel like I know what I am doing in this class. In my previous computer science classes, I felt lost; I often just got by with my assignments.",Getting to read the lecture slides in the limited time I have.,I am selecting a free day of my week to go over all the lecture slides for the week. I still have to decide on what day it is and see if it works for me.,No,Not bad at all. Checking the calendar on Canvas every day is helping me. ,"Maybe organize the Canvas module page a little more neatly? I had a professor who divided all the sections into each lecture day of the week. Like how this class separated modules into one drop-down, that class made each class day into a drop-down and titled them as ""Module x: Lesson x Pt x."" It helped me stay on track. The modules page on this course is a little confusing. But other than that, everything is great!"
Online Asynchronous (081),s047@anon.local,"Excited,Satisfied","I feel excited about and satisfied with the course because so far, I like the type of content that we are learning, specifically regarding gaining a deeper understanding of software engineering and even coding bit by bit at levels more advanced than what we last learned in Python courses. I'm satisfied because I feel that the difficulty of assignments is fitting and fair.","My only real frustration or challenge was that I didn't pay close enough attention to when the opinion for the first ""great compscenario debate"" was, so I wasn't able to complete that first assignment as I didn't get the opinion in on time.",I paid closer attention to the deadlines and when the opinions for these debates were required.,"I'm not currently facing any challenges or concerns with this class, just trying to keep up with the work as normal.",I'm happy with my performance in the course so far but have to ensure that I don't procrastinate more and be sharp when it comes to deadlines.,I think that I need to continue to balance my work in this course with my other courses and personal life over the summer to maintain good performance.
Online Asynchronous (081),s039@anon.local,"Satisfied,I have been having trouble keeping up at the moment due to a chaotic few weeks.  ","I am still very excited about the course material, and enjoying the content.  Will have a more normal consistent engagement with the course starting here forward.  ",Just maintaining time management but that doesnt really have to do with the course itself ,Still working on it ,No. ,"Pretty badly, but this is temporary.  The assignments have been easy so far and engaging.  ","Nothing, this is on me to fix.  "
Online Asynchronous (081),s054@anon.local,Excited,"I very much look forward to learning the material in the course, and I'm very glad the course materials are somewhat self-paced.",I haven't encountered any issues at all.,N/A,No,I believe my performance so far is exemplary. My ability to comprehend the material given is serving me well.,Continue submitting assignments either ahead of or on time.
Online Asynchronous (081),s012@anon.local,"Excited,Frustrated","I'm excited to learn Python and build projects. However, I dislike the sway discussions so far honestly. I understand what it's trying to do and the point of it, I still don't enjoy it though. There's only so much to be said and I type somewhat lengthy statements with each reply, so to not see progression gets annoying. Overall, measuring the impact or depth of a discussion with AI percentage progression is weird to me. ","As stated before, the sway discussions. I need to get better at them since I was in Texas since last Friday and didn't really get chances to do a lot of work since I was visiting a lot of family and just trying to enjoy the vacation. ","Well, I returned to NC yesterday so I'm back at my PC setup which is a lot better than trying to use my laptop. More screens, power, speed, ergonomics, etc. helps. We'll see, I should start to get better from here as I focus in and settle into the course. ",I am not. ,"B-, I'm holding myself back at the moment with time restraint it seems. My dislike for sway doesn't help either. ",I can keep up more with the course and see how to improve progression speed on sway discussions. 
Online Asynchronous (081),s009@anon.local,Frustrated,I am slightly frustrated by the grading of assignments and response times on emails.,Just keeping track of all my assignments and due dates.,I was making a schedule to get all my work done on time.,"I'm in India right now because my grandfather passed away, I won't have proper internet connection for a couple weeks and needed some extensions for my assignments.",I'm doing good for my circumstances and It's because I'm really trying to do everything I can in my situation.,Just be more active on gmail.
Online Asynchronous (081),UNK_024,Excited,Just really glad I could take this course in the summer!,Biggest challenges was going through and completing all the exercises.,I overcame this challenge by just powering through it.,No,"I would say that my performance is ok, the due dates being different in the first couple modules confused me a little. For example one assignment one the module is not due till the 9th but another is due the 5th.",The actions I can take is to make a little calendar and add the due dates for the week.
Online Asynchronous (081),s011@anon.local,Satisfied,"Good course, everything is easy to understand",Just that there Is something due everyday. It's hard to keep up as I work. ,Trying my best to get things done in time . ,no,What's holding me back is the time I have to commit everyday. I mostly have to wait till the weekend to get most the content complete. ,I need to stay on top of the work
